VCHAN_34_41_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_41_1, basecost = 1.0, capacity = 1, occupation = 3, type = VCHAN
VCHAN_34_42_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_43_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_44_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_44_1, basecost = 1.0, capacity = 1, occupation = 3, type = VCHAN
VCHAN_34_45_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_45_1, basecost = 1.0, capacity = 1, occupation = 3, type = VCHAN
VCHAN_34_46_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_46_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_47_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_47_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_48_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_48_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_49_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_49_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_50_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_50_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_1_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_2_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_2_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_3_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_4_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_5_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_5_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_6_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_6_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_7_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_7_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_8_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_8_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_9_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_9_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_10_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_10_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_11_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_11_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_12_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_13_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_13_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_14_0, basecost = 1.0, capacity = 1, occupation = 3, type = VCHAN
VCHAN_35_15_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_16_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_16_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_17_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_17_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_18_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_18_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_19_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_20_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_21_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_21_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_22_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_23_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_24_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_29_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_30_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_33_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_34_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_35_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_36_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_37_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_37_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_38_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_39_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_39_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_40_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
